                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6067,                 2.5854,                 1.6789,                0.04238,                0.52914,                0.03475,                0.01066,                 2.2397,                 45.477,                 2.1888,             0.00047272,             0.00047272,             0.00047272
                      1,                 1.6959,                 2.0289,                 1.7329,                 0.7124,                0.16528,                0.16934,                  0.056,                 2.7125,                 3.9182,                 3.5365,             0.00093966,             0.00093966,             0.00093966
                      2,                 1.6469,                 1.8893,                 1.6927,                0.10585,                0.29251,                  0.112,                0.03104,                 2.9558,                 33.688,                  2.707,              0.0013972,              0.0013972,              0.0013972
                      3,                 1.6096,                 1.7881,                 1.6676,                0.41613,                 0.4867,                0.48397,                0.16229,                 2.3794,                 1.6062,                 2.0548,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.5795,                 1.7249,                 1.6632,                0.32948,                0.48535,                0.48488,                0.17878,                  2.163,                 1.9524,                 2.1017,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5098,                 1.5828,                 1.6181,                0.42967,                0.72679,                0.61482,                0.22562,                 2.1995,                  1.311,                 1.8529,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.4964,                 1.5103,                 1.5915,                 0.5932,                0.57302,                0.62414,                0.28283,                 1.9394,                 1.1845,                 1.7641,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.4593,                 1.4376,                  1.583,                0.49846,                0.54491,                0.54498,                0.28456,                 1.7897,                 1.7584,                 1.7205,              0.0013441,              0.0013441,              0.0013441
                      8,                   1.49,                 1.4183,                 1.5863,                0.40713,                0.92657,                0.69504,                0.34581,                 1.7878,                 1.0657,                 1.6462,                0.00133,                0.00133,                0.00133
                      9,                 1.4475,                 1.3786,                 1.5678,                 0.7834,                0.73019,                0.79454,                0.44172,                 1.6856,                0.94224,                 1.5064,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4579,                    1.3,                 1.5752,                0.72334,                0.64006,                0.72481,                  0.312,                 2.0905,                 1.0816,                 1.8519,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.4214,                  1.271,                 1.5493,                0.78397,                0.75053,                0.81687,                0.35254,                 2.0282,                 1.0579,                 1.9114,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.4133,                 1.2175,                  1.564,                0.85905,                0.74241,                0.87041,                0.38088,                 2.0407,                0.91364,                 1.8488,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.3952,                 1.1612,                 1.5432,                0.90255,                 0.6547,                0.84736,                0.42167,                 1.8267,                0.85619,                 1.7167,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.4042,                  1.133,                 1.5519,                0.86552,                0.75045,                0.85746,                0.40006,                 1.9433,                0.89692,                 1.7727,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.3666,                 1.0974,                 1.5291,                0.74855,                0.85642,                0.88287,                0.39631,                 2.0029,                0.87295,                 1.8448,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.3704,                 1.0642,                 1.5341,                0.88038,                0.71767,                0.87894,                0.45507,                 1.6747,                0.83703,                 1.6277,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.3634,                 1.0739,                 1.5221,                0.88753,                0.71164,                0.86596,                0.41016,                 1.8496,                0.85214,                 1.6817,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.3666,                 1.0659,                 1.5199,                0.89405,                0.79527,                 0.8886,                0.45016,                 1.7905,                0.81416,                 1.6077,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.3365,                 1.0417,                  1.519,                0.93523,                0.70114,                0.86101,                0.43757,                 1.7709,                0.84736,                 1.6767,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.3171,                 1.0098,                 1.5055,                0.89536,                0.80221,                 0.9406,                0.50872,                 1.7478,                0.76247,                 1.6404,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.3641,                 1.0089,                 1.5369,                0.92363,                0.77307,                0.92066,                0.42548,                 2.0121,                0.79975,                 1.8473,              0.0011461,              0.0011461,              0.0011461
                     22,                  1.302,                0.98594,                 1.4801,                0.87472,                0.79166,                0.89304,                0.43779,                 1.8738,                0.79364,                 1.7635,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.3154,                0.96967,                 1.4909,                0.84604,                 0.8514,                0.89831,                0.46613,                  1.766,                 0.7589,                 1.6726,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.3177,                0.96293,                 1.4991,                0.93286,                0.86986,                0.92853,                0.53207,                 1.5903,                  0.721,                 1.5323,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.2956,                0.94842,                 1.4752,                0.77961,                0.91164,                0.92419,                0.48732,                 1.7135,                0.71919,                 1.5821,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.2776,                  0.933,                 1.4675,                 0.8931,                0.91482,                0.94522,                 0.4833,                 1.7743,                0.71097,                 1.6852,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.2515,                0.92031,                 1.4491,                0.89977,                0.87588,                0.93296,                0.48903,                 1.7635,                0.72874,                  1.599,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.2845,                0.91068,                 1.4676,                0.86469,                0.91783,                0.92884,                0.50985,                 1.6078,                0.68821,                 1.4966,               0.001047,               0.001047,               0.001047
                     29,                 1.2402,                0.89018,                 1.4457,                0.86174,                0.90885,                0.91661,                0.50218,                 1.7059,                 0.7058,                 1.5743,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.2321,                0.88512,                 1.4351,                0.79448,                0.93679,                0.92446,                 0.5143,                 1.5522,                0.71249,                  1.531,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.2468,                0.89246,                 1.4443,                0.87203,                0.92374,                0.92844,                0.53759,                 1.5807,                 0.6655,                 1.4804,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.2572,                0.89891,                 1.4385,                0.82342,                0.88943,                0.89557,                0.42409,                  1.713,                0.78408,                 1.6356,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.2285,                0.88488,                 1.4426,                0.88085,                0.90305,                0.94576,                0.54987,                 1.4789,                 0.6574,                 1.4475,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.2202,                0.84195,                  1.419,                0.91074,                0.97544,                0.96888,                0.49834,                 1.7232,                0.67713,                 1.5619,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.2287,                0.85799,                 1.4281,                0.86333,                0.91407,                0.94642,                0.50466,                 1.5927,                0.66258,                 1.5771,               0.000948,               0.000948,               0.000948
                     36,                 1.2284,                0.84056,                 1.4236,                0.85865,                  0.912,                0.94431,                0.52941,                 1.5538,                  0.684,                  1.488,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.1979,                0.81402,                 1.4086,                0.94538,                0.92016,                0.96495,                0.47098,                 1.8026,                0.65586,                 1.6546,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.1864,                0.79838,                 1.3841,                0.91007,                 0.8878,                0.93154,                0.49907,                 1.5711,                0.67878,                 1.5141,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.1764,                 0.7709,                 1.3906,                0.93086,                0.89244,                0.96475,                0.51538,                 1.7331,                0.64515,                 1.5387,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.1783,                0.78536,                 1.3787,                0.92997,                0.85529,                 0.9057,                0.52091,                 1.4964,                0.64469,                 1.4534,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.1607,                0.75969,                 1.3715,                 0.9266,                0.86385,                0.91246,                 0.4682,                 1.7937,                0.71795,                  1.619,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.1696,                0.79014,                 1.3798,                0.91728,                0.89056,                0.94221,                0.50222,                 1.7342,                0.65235,                 1.5866,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.1459,                0.74553,                 1.3754,                0.93708,                0.89774,                0.94366,                0.49386,                  1.659,                0.67904,                 1.5815,             0.00083482,             0.00083482,             0.00083482
                     44,                  1.176,                0.76463,                 1.3819,                0.93825,                0.88243,                0.94832,                0.55016,                 1.5664,                0.63304,                 1.4972,             0.00082067,             0.00082067,             0.00082067
                     45,                  1.145,                0.73921,                 1.3527,                0.91939,                0.92703,                0.95374,                0.51565,                 1.6962,                0.61353,                 1.5641,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.1346,                0.74501,                 1.3562,                0.95418,                0.89717,                0.95056,                0.52276,                 1.6272,                 0.6388,                 1.5734,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.1189,                0.73574,                 1.3511,                0.91269,                0.93242,                0.96294,                0.50988,                 1.6769,                0.62758,                 1.5351,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.1143,                0.70289,                 1.3353,                0.90984,                0.94802,                 0.9552,                0.55209,                 1.4979,                0.58518,                 1.4131,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.0916,                0.73178,                 1.3209,                0.89635,                0.93404,                0.96725,                0.55495,                 1.6075,                0.59686,                 1.5252,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.0813,                0.70484,                 1.3211,                 0.9064,                0.90805,                0.93833,                0.50916,                 1.6376,                0.61867,                  1.504,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.0945,                0.71561,                 1.3243,                0.91256,                0.90921,                0.93515,                0.55302,                 1.4704,                0.59284,                   1.43,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.0809,                0.70821,                 1.3041,                0.90727,                0.91502,                0.95162,                0.56442,                 1.4371,                0.57366,                 1.3877,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.0677,                0.67357,                 1.3009,                0.91167,                0.92671,                 0.9501,                 0.5472,                 1.6067,                 0.6083,                 1.4791,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.0691,                0.67547,                 1.3021,                0.89582,                0.89452,                0.92415,                0.51651,                 1.6666,                0.66381,                 1.5401,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.0571,                0.66801,                 1.2994,                0.92224,                0.87954,                0.93611,                0.53684,                 1.5133,                 0.5927,                 1.4429,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.0685,                0.68565,                  1.306,                 0.8709,                0.93124,                0.94242,                0.59008,                 1.3124,                0.54585,                 1.3445,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.0578,                0.67353,                 1.2979,                0.92097,                0.87452,                0.95104,                0.59059,                 1.5045,                0.59821,                 1.3806,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.0446,                0.66187,                 1.2861,                 0.8898,                0.90885,                0.94949,                0.54509,                 1.5888,                0.58773,                 1.5031,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.0373,                0.64784,                 1.2797,                0.90016,                  0.912,                0.94528,                0.53859,                 1.6241,                0.63363,                 1.5443,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.0314,                0.65263,                 1.2816,                0.89202,                0.89143,                0.93966,                0.54691,                 1.5607,                0.59372,                 1.4673,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.0157,                0.65888,                 1.2764,                0.92151,                0.94151,                0.95519,                0.57405,                  1.486,                0.55761,                 1.4149,             0.00058017,             0.00058017,             0.00058017
                     62,                  1.002,                0.63204,                 1.2752,                 0.8668,                0.89821,                 0.9503,                0.54709,                 1.4713,                 0.5749,                 1.4387,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.0045,                0.61824,                 1.2672,                0.94826,                0.93287,                 0.9518,                0.56937,                 1.4613,                0.57601,                 1.4602,             0.00055188,             0.00055188,             0.00055188
                     64,                0.98807,                 0.6405,                 1.2576,                0.93593,                0.89857,                 0.9471,                0.58032,                 1.4264,                0.57043,                 1.3888,             0.00053773,             0.00053773,             0.00053773
                     65,                0.97777,                0.63663,                 1.2376,                0.92577,                0.93088,                0.95124,                0.56589,                 1.4445,                0.55913,                 1.3901,             0.00052359,             0.00052359,             0.00052359
                     66,                0.97097,                0.60566,                 1.2336,                0.88755,                0.89545,                0.92644,                0.55973,                  1.429,                0.60112,                 1.3858,             0.00050944,             0.00050944,             0.00050944
                     67,                0.96169,                0.60398,                  1.242,                0.93211,                0.88811,                0.93339,                0.58999,                 1.3134,                0.57059,                  1.342,             0.00049529,             0.00049529,             0.00049529
                     68,                0.97177,                0.60261,                  1.224,                0.92518,                0.91375,                0.94031,                0.56076,                 1.4822,                0.58351,                 1.4216,             0.00048114,             0.00048114,             0.00048114
                     69,                0.96561,                0.59491,                 1.2407,                0.91942,                0.94045,                 0.9429,                0.54934,                 1.5518,                0.59116,                 1.4608,               0.000467,               0.000467,               0.000467
                     70,                0.94711,                0.58125,                 1.2247,                0.91829,                0.95047,                0.94707,                0.59314,                 1.4266,                0.56026,                 1.3866,             0.00045285,             0.00045285,             0.00045285
                     71,                0.94068,                0.58372,                 1.2206,                0.91007,                0.93969,                0.94407,                 0.5472,                 1.5272,                0.56616,                 1.4822,              0.0004387,              0.0004387,              0.0004387
                     72,                0.94175,                0.58511,                 1.2202,                0.92955,                0.88254,                0.94112,                 0.5772,                 1.5068,                0.60145,                 1.4394,             0.00042456,             0.00042456,             0.00042456
                     73,                0.94086,                0.56922,                 1.2122,                0.92309,                0.88856,                0.93221,                0.57437,                 1.4688,                0.62281,                 1.4174,             0.00041041,             0.00041041,             0.00041041
                     74,                0.92484,                0.56481,                 1.2007,                0.93763,                0.89586,                0.93062,                0.56627,                 1.4572,                0.56564,                 1.4062,             0.00039626,             0.00039626,             0.00039626
                     75,                0.90707,                0.56708,                 1.1897,                0.91806,                0.93765,                0.95009,                0.56107,                 1.5307,                0.57361,                 1.4525,             0.00038211,             0.00038211,             0.00038211
                     76,                0.88977,                0.55895,                 1.1965,                0.91615,                0.92787,                0.94503,                0.57012,                 1.4304,                0.57084,                 1.4042,             0.00036797,             0.00036797,             0.00036797
                     77,                0.87805,                0.54601,                 1.1828,                0.91893,                0.88372,                0.93728,                0.59701,                 1.3124,                0.54042,                 1.3146,             0.00035382,             0.00035382,             0.00035382
                     78,                0.88288,                0.55244,                 1.1805,                0.91218,                0.90471,                0.93991,                0.59919,                 1.3444,                0.52963,                 1.3344,             0.00033967,             0.00033967,             0.00033967
                     79,                0.87936,                0.54054,                 1.1742,                0.92567,                0.94076,                0.94284,                0.56588,                 1.4576,                0.55803,                 1.4217,             0.00032553,             0.00032553,             0.00032553
                     80,                0.86699,                0.53516,                 1.1695,                0.90282,                0.93909,                0.94422,                0.59091,                 1.4238,                0.56453,                 1.3689,             0.00031138,             0.00031138,             0.00031138
                     81,                0.85574,                0.53677,                 1.1583,                0.92776,                0.88816,                0.94168,                0.57262,                 1.5009,                0.56893,                 1.4404,             0.00029723,             0.00029723,             0.00029723
                     82,                0.86588,                0.54946,                 1.1646,                0.95522,                0.93765,                0.95176,                0.59605,                 1.3453,                0.53263,                 1.3584,             0.00028308,             0.00028308,             0.00028308
                     83,                0.86976,                0.53712,                  1.171,                 0.9048,                0.93382,                0.94152,                0.59728,                 1.4116,                0.56203,                 1.3891,             0.00026894,             0.00026894,             0.00026894
                     84,                0.84783,                0.52442,                 1.1524,                0.92988,                0.92361,                 0.9486,                0.56856,                 1.4486,                0.58128,                 1.4408,             0.00025479,             0.00025479,             0.00025479
                     85,                0.84231,                0.51909,                 1.1554,                0.92393,                0.92459,                0.93862,                0.58103,                 1.3799,                0.55698,                 1.3743,             0.00024064,             0.00024064,             0.00024064
                     86,                0.82822,                0.51555,                 1.1381,                0.91882,                0.93124,                 0.9479,                0.59063,                 1.4202,                0.55326,                 1.4154,              0.0002265,              0.0002265,              0.0002265
                     87,                0.83449,                0.53275,                 1.1573,                0.94066,                0.90763,                0.93864,                0.56581,                 1.4621,                0.57222,                 1.4509,             0.00021235,             0.00021235,             0.00021235
                     88,                0.80879,                0.49678,                 1.1294,                0.90122,                0.91684,                0.94345,                0.59234,                 1.3568,                0.54653,                 1.3607,              0.0001982,              0.0001982,              0.0001982
                     89,                0.84046,                0.54707,                 1.1484,                 0.9083,                0.90959,                0.92898,                0.57718,                 1.3704,                0.56678,                 1.3786,             0.00018406,             0.00018406,             0.00018406
                     90,                0.80454,                0.49152,                 1.1198,                0.90728,                0.90835,                0.93863,                 0.5665,                 1.3912,                0.55471,                 1.4021,             0.00016991,             0.00016991,             0.00016991
                     91,                0.78458,                0.49209,                 1.1192,                0.92106,                0.94142,                0.94995,                0.56544,                 1.4383,                0.54599,                 1.4447,             0.00015576,             0.00015576,             0.00015576
                     92,                0.77807,                0.48186,                 1.1342,                0.90857,                0.94159,                0.95318,                0.56485,                 1.4641,                0.55009,                 1.4646,             0.00014161,             0.00014161,             0.00014161
                     93,                0.76847,                0.47454,                 1.1089,                0.92242,                0.90247,                0.94087,                0.56585,                 1.4525,                0.55804,                 1.4426,             0.00012747,             0.00012747,             0.00012747
                     94,                0.78435,                0.48472,                 1.1102,                0.91526,                0.93099,                0.94704,                0.59776,                 1.3423,                0.53148,                 1.3642,             0.00011332,             0.00011332,             0.00011332
                     95,                0.76946,                0.47539,                 1.1003,                0.91122,                0.93131,                0.94641,                0.57988,                 1.3863,                0.54869,                 1.3973,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.76536,                0.47747,                 1.1105,                0.91202,                0.92904,                0.94959,                0.58779,                 1.3638,                0.54126,                 1.3833,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.74643,                0.46594,                 1.0987,                0.91324,                0.93504,                0.94723,                0.59509,                 1.3839,                0.53252,                 1.3838,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.75395,                0.45904,                 1.1003,                0.91935,                 0.9357,                0.94048,                0.57257,                 1.4088,                0.54679,                 1.4163,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.7542,                0.48954,                 1.1002,                0.91893,                0.92597,                0.94187,                0.59288,                   1.37,                0.53845,                 1.3805,             4.2584e-05,             4.2584e-05,             4.2584e-05
